economy_code,source_id,source_authority,source_url,reference_period,concept,granularity,machine_readable,status,rejection_reason
BGD,BGD_BBS_HIES_2022_FINAL_REPORT_PAGE,Bangladesh Bureau of Statistics,https://nsds.bbs.gov.bd/en/posts/161/Final%20Report%20of%20Household%20Income%20and%20Expenditure%20Survey%20%28HIES%29%202016,2022,Final Report of HIES 2022,HIES_2022_PUBLICATION,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for BGD_BBS_HIES_2022_FINAL_REPORT_PAGE: attempt=1:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=2:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=3:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=4:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>"
BGD,BGD_BBS_PORTAL,Bangladesh Bureau of Statistics,https://bbs.portal.gov.bd/,2021,BBS institutional portal,DISCOVERY_PORTAL,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for BGD_BBS_PORTAL: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1082)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1082)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1082)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1082)>
VNM,VNM_NSO_STATISTICAL_DATA_PORTAL,National Statistics Office of Viet Nam,https://www.nso.gov.vn/en/statistical-data/,2021,NSO statistical data portal,STATISTICAL_TABLE_CATALOGUE,partly,ACQUIRED_BUT_REJECTED,The official statistical-data catalogue does not itself provide a pinned 2021 S14/P31 twelve-purpose table.
VNM,VNM_NSO_SOCIO_ECONOMIC_2021,National Statistics Office of Viet Nam,https://www.nso.gov.vn/en/data-and-statistics/2022/01/socio-economic-situation-in-the-fourth-quarter-and-2021/,2021,Socio-economic situation in fourth quarter and 2021,GDP_USE_AGGREGATE_RELEASE,partly,ACQUIRED_BUT_REJECTED,"The 2021 release reports aggregate final-consumption growth, not household expenditure levels by purpose."
VNM,VNM_NSO_VHLSS_2022,National Statistics Office of Viet Nam,https://www.nso.gov.vn/en/default/2024/04/results-of-the-viet-nam-household-living-standards-survey-2022/,2022,Viet Nam Household Living Standards Survey 2022,VHLSS_HOUSEHOLD_SURVEY,partly,ACQUIRED_BUT_REJECTED,VHLSS 2022 is a household survey with the wrong period and cannot replace national-accounts S14/P31.
VNM,VNM_NSO_VHLSS_2020,National Statistics Office of Viet Nam,https://www.nso.gov.vn/en/data-and-statistics/2022/06/results-of-the-viet-nam-household-living-standards-survey-2020/,2020,Viet Nam Household Living Standards Survey 2020,VHLSS_HOUSEHOLD_SURVEY,partly,ACQUIRED_BUT_REJECTED,VHLSS 2020 is a household survey and does not match the 2021 national-accounts benchmark.
VNM,VNM_NSO_HOMEPAGE,National Statistics Office of Viet Nam,https://www.nso.gov.vn/en/homepage/,2021,NSO institutional homepage,DISCOVERY_PORTAL,partly,ACQUIRED_BUT_REJECTED,"The homepage is a discovery route, not a dataset."
BLR,BLR_BELSTAT_YEARBOOK_2022,National Statistical Committee of the Republic of Belarus,https://belstat.gov.by/upload/iblock/57e/a76lpm9rtfb8x0l0o2t3wfts61arbk2q.pdf,2021,Statistical Yearbook of the Republic of Belarus 2022,MULTI_SOURCE_YEARBOOK,partly,ACQUIRED_BUT_REJECTED,The yearbook covers 2021 but does not provide an admissible strict-HFCE CP02 cell with narcotics excluded.
BLR,BLR_BELSTAT_LIVING_STANDARDS,National Statistical Committee of the Republic of Belarus,https://www.belstat.gov.by/upload/iblock/747/h2d3js5a6ro9svs5xv2zi0fb8ov7o41i.pdf,2021,Social Situation and Living Standards household expenditure publication,HOUSEHOLD_SAMPLE_SURVEY_PUBLICATION,partly,ACQUIRED_BUT_REJECTED,Household living-standards expenditure is survey evidence and cannot replace national-accounts S14/P31 purpose weights.
KWT,KWT_CSB_HIES_2019_2021,Kuwait Central Statistical Bureau,https://www.csb.gov.kw/Pages/Statistics_en?ID=16&ParentCatID=+1,2021,Household income and expenditure survey 2019/2021,HOUSEHOLD_SURVEY,partly,ACQUIRED_BUT_REJECTED,The detailed 2021 source is a household survey and cannot supply exact national-accounts CP02 weights.
KWT,KWT_CSB_INPUT_OUTPUT_INVENTORY,Kuwait Central Statistical Bureau,https://www.csb.gov.kw/Pages/Statistics_en?ID=26&ParentCatID=+3,2000-2010,National Accounts Statistics Input and Output Tables inventory,HISTORICAL_PRODUCT_IO_TABLES,partly,ACQUIRED_BUT_REJECTED,"The listed input-output sources are historical and product-based, not a 2021 purpose-classified CP02 table."
SAU,SAU_GASTAT_SUT_IO_2018_2023,General Authority for Statistics,https://www.stats.gov.sa/en/w/supply-and-use-input-output-tables-2019,2021,Supply and Use and Input-Output Tables by Divisions 2018-2023,PRODUCT_DIVISION_SUT_IO,partly,ACQUIRED_BUT_REJECTED,Product-division SUT/IO data do not by themselves provide a strict purpose-classified CP02 cell.
SAU,SAU_GASTAT_HOUSEHOLD_EXPENDITURE_SURVEY,General Authority for Statistics,https://www.stats.gov.sa/en/w/hes-2,2021,Household Expenditure Survey,COICOP_HOUSEHOLD_SURVEY,partly,ACQUIRED_BUT_REJECTED,"The source is a household survey used for CPI weights, not an exact national-accounts S14/P31 matrix."
SAU,SAU_GASTAT_ANNUAL_NA_METHOD,General Authority for Statistics,https://www.stats.gov.sa/en/w/methodology-and-quality-report-for-annual-national-accounts,2021,Annual National Accounts methodology,SNA_2008_METHOD_DOCUMENT,partly,ACQUIRED_BUT_REJECTED,The methodology documents the accounts but is not a 2021 purpose-value dataset.
BON,BON_CBS_CPI_WEIGHTS,Statistics Netherlands,https://www.cbs.nl/en-gb/figures/detail/84046ENG,2021,Caribbean Netherlands CPI and weighting coefficients,CPI_12_PRODUCT_GROUPS,partly,ACQUIRED_BUT_REJECTED,"The twelve-group weights are CPI expenditure weights, not national-accounts S14/P31 values."
BON,BON_CBS_GDP,Statistics Netherlands,https://www.cbs.nl/en-gb/figures/detail/84789ENG,2021,Bonaire gross domestic product,GDP_AGGREGATE,partly,ACQUIRED_BUT_REJECTED,The GDP table contains macroeconomic aggregates and no twelve-purpose household consumption matrix.
LBR,LBR_LISGIS_GDP_2016_2022,Liberia Institute of Statistics and Geo-Information Services,https://lisgis.gov.lr/admin_area/nationalaccount/gdp20162022.pdf,2021,Liberia GDP Report 2016-2022,EXPENDITURE_GDP_AGGREGATES,partly,ACQUIRED_BUT_REJECTED,"The report discusses household, government and NPISH final consumption at aggregate level, not strict S14 values by twelve purposes."
LBR,LBR_LISGIS_HIES_PORTAL,Liberia Institute of Statistics and Geo-Information Services,https://lisgis.gov.lr/,2021,LISGIS Household Income and Expenditure Survey publications,HIES_SURVEY_PUBLICATION_FAMILY,partly,ACQUIRED_BUT_REJECTED,HIES is survey evidence and cannot resolve the national-accounts unit/concept mismatch as exact weights.
